system:index,Npp,.geo
344_0,0.4408,"{""type"":""MultiPoint"",""coordinates"":[]}"
345_0,0.6225,"{""type"":""MultiPoint"",""coordinates"":[]}"
346_0,0.44370000000000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
347_0,0.6003000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
348_0,0.5561,"{""type"":""MultiPoint"",""coordinates"":[]}"
349_0,0.3758,"{""type"":""MultiPoint"",""coordinates"":[]}"
350_0,0.3214,"{""type"":""MultiPoint"",""coordinates"":[]}"
351_0,0.5863,"{""type"":""MultiPoint"",""coordinates"":[]}"
352_0,0.5607,"{""type"":""MultiPoint"",""coordinates"":[]}"
353_0,0.39580000000000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
354_0,0.2818,"{""type"":""MultiPoint"",""coordinates"":[]}"
355_0,0.2204,"{""type"":""MultiPoint"",""coordinates"":[]}"
356_0,0.68,"{""type"":""MultiPoint"",""coordinates"":[]}"
357_0,0.3975,"{""type"":""MultiPoint"",""coordinates"":[]}"
358_0,0.3734,"{""type"":""MultiPoint"",""coordinates"":[]}"
359_0,0.23500000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
360_0,0.5720000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
361_0,0.3287,"{""type"":""MultiPoint"",""coordinates"":[]}"
362_0,0.2358,"{""type"":""MultiPoint"",""coordinates"":[]}"
363_0,0.38020000000000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
364_0,0.4454,"{""type"":""MultiPoint"",""coordinates"":[]}"
365_0,0.431,"{""type"":""MultiPoint"",""coordinates"":[]}"
366_0,0.2929,"{""type"":""MultiPoint"",""coordinates"":[]}"
367_0,0.3776,"{""type"":""MultiPoint"",""coordinates"":[]}"
368_0,0.4072,"{""type"":""MultiPoint"",""coordinates"":[]}"
369_0,0.16590000000000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
370_0,0.1864,"{""type"":""MultiPoint"",""coordinates"":[]}"
371_0,0.3478,"{""type"":""MultiPoint"",""coordinates"":[]}"
372_0,0.3173,"{""type"":""MultiPoint"",""coordinates"":[]}"
373_0,0.3299,"{""type"":""MultiPoint"",""coordinates"":[]}"
374_0,0.3095,"{""type"":""MultiPoint"",""coordinates"":[]}"
375_0,0.2174,"{""type"":""MultiPoint"",""coordinates"":[]}"
376_0,0.3795,"{""type"":""MultiPoint"",""coordinates"":[]}"
377_0,0.3426,"{""type"":""MultiPoint"",""coordinates"":[]}"
378_0,0.5398000000000001,"{""type"":""MultiPoint"",""coordinates"":[]}"
379_0,0.21230000000000002,"{""type"":""MultiPoint"",""coordinates"":[]}"
380_0,0.48100000000000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
381_0,0.38420000000000004,"{""type"":""MultiPoint"",""coordinates"":[]}"
